"id","title","authors","date","days_ago","abstract","journal","pdf_url","openalex_pdf","europepmc_pdf","source","pdf_ok","pdf_blocked","pdf_file","pdf_mb","pdf_source"
"https://doi.org/10.1038/d41586-026-00495-y","Statistical approximation is not general intelligence","Quattrociocchi Walter; Capraro Valerio; Marcus Gary","2026-02-17",1,"","Nature",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/s41589-026-02151-y","Modular engineering of thermoresponsive allosteric proteins","Kroell Ann-Sophie; Hoffmann Kira H.; Motzkus Nikolas A.; Lemmen Nina; Happ Nele; Wolf Benedict; von Bachmann Anna-Lisa; Southern Nicholas; Vogd Felicitas; Aschenbrenner Sabine; Niopek Dominik; Mathony Jan","2026-02-12",6,"Abstract Thermogenetics enables noninvasive spatiotemporal control over protein activity in living cells and tissues, yet its applications have largely been restricted to transcriptional regulation and membrane recruitment. Here, we present a generalizable strategy for engineering thermosensitive allosteric proteins through the insertion of optimized Avena sativa LOV2 domain variants. Applying this approach to a diverse set of structurally and functionally unrelated proteins in Escherichia coli , we generated potent, thermoswitchable chimeric variants that can be tightly controlled within narrow temperature ranges (37–41 °C). Extending this strategy to mammalian systems, we engineered CRISPR–Cas genome editors directly modulated by subtle temperature changes within the physiological range. Lastly, we showcase the incorporation of a chemoreceptor domain as an alternative thermosensing module, suggesting thermosensitivity to be a widespread feature in receptor domains. This work expands the toolkit of thermogenetics, providing a blueprint for temperature-dependent control of virtually any protein of interest.","Nature Chemical Biology",NA,NA,NA,"top_journals",TRUE,FALSE,"top_journals_modular_engineering__httpsdoiorg1.pdf",6.76,"unpaywall_doi"
"https://doi.org/10.1038/d41586-026-00252-1","My ‘detective’ job as a competitive-intelligence consultant for pharma","Szalinski Christina","2026-02-11",7,"","Nature",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/s41467-026-68530-0","Artificial gauge fields and dimensions in a polariton hofstadter ladder","Widmann Simon; Bellmann Jonas; Düreth Johannes; Dam Siddhartha; Mayer Christian G.; Gagel Philipp; Betzold Simon; Emmerling Monika; Mandal Subhaskar; Banerjee Rimi; Liew Timothy C. H.; Thomale Ronny; Höfling Sven; Klembt Sebastian","2026-02-11",7,"Abstract Artificial gauge fields allow uncharged particles such as photons to mimic the behaviour of charged particles subjected to magnetic fields, providing a powerful platform to alter the effective dynamics and exploring topological physics. Topological exciton-polariton lasers have attracted considerable interest, but often require strong magnetic fields to realise propagating topological edge states. Here we experimentally realise the topological Hall effect in a micron-scale micropillar chain by using an artificial gauge field, exploiting the circular polarisation of polaritons as an artificial dimension. Careful rotational alignment of elliptical micropillars induces strictly polarisation-dependent edge-state propagation, demonstrating non-reciprocal transport of the polariton pseudospins. Our results demonstrate that the dimensionality limitation of topological interface states as well as requirements for strong external magnetic fields in coupled topological laser arrays can be overcome. Our results open new ways towards the implementation of topological polariton lattices and related optically active devices with additional artificial dimension.","Nature Communications",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1126/science.aee1347","Turning the web against sex traffickers: Scalable artificial intelligence is harnessed for investigative search","Kejriwal Mayank","2026-02-05",13,"Scalable artificial intelligence is harnessed for investigative search","Science",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/s41467-026-68911-5","Expanding the DNA damaging potential of artificial metallo-nucleases with click chemistry","Gibney Alex; Sidarta Margareth; Delahunt Eva; Mesdom Pierre; Arrué Lily; KK Sriram; Aning Obed Akwasi; Hjerpe Hedvig; Figueiredo Francisca; Cariou Kevin; McKee Vickie; Johansson Pegah; Bhattacharya Shayon; Thompson Damien; Wenzel Michaela; Gasser Gilles; Westerlund Fredrik; Kellett Andrew","2026-02-03",15,"Abstract Recently, copper(I)-catalysed azide-alkyne cycloaddition (CuAAC) click chemistry has emerged as a promising approach for designing new artificial metallo-nucleases (AMNs) with DNA-damaging properties. By functionalising a central organic azide with three alkyne donors, Tri-Click (TC) ligands capable of chelating three copper ions through the donor group and triazole linker can be generated. However, the versatility of this approach along with the influence of specific donors on metal binding, DNA recognition, and cellular DNA damage in an anticancer context remains poorly understood. Here, we prepare a series of Tri-Click ligands incorporating systematic cyclic and acyclic N-, O-, and S-donors and evaluate their AMN activities. Screening experiments pinpoint planar N-donor ligands as high value agents. Among these, the copper complex of Tri-Click-Pyridine (Cu 3 -TC-Py) displays significant potential. We characterise its activity using single-molecule imaging, microscale thermophoresis, FRET-based binding assays, molecular dynamics, and intracellular DNA interaction studies in human and functional bacterial cells. We report the emergence of Cu 3 -TC-Py as a lead AMN with high reactivity for DNA damage applications central to anticancer therapy.","Nature Communications",NA,NA,NA,"top_journals",TRUE,FALSE,"top_journals_expanding_the_dna_da_httpsdoiorg1.pdf",2.85,"unpaywall_doi"
"https://doi.org/10.1038/s41567-025-03090-6","Lattice surgery realized on two distance-three repetition codes with superconducting qubits","Besedin Ilya; Kerschbaum Michael; Knoll Jonathan; Hesner Ian; Bödeker Lukas; Colmenarez Luis; Hofele Luca; Lacroix Nathan; Hellings Christoph; Swiadek François; Flasby Alexander; Bahrami Panah Mohsen; Colao Zanuz Dante; Müller Markus; Wallraff Andreas","2026-01-30",19,"Abstract Quantum error correction is needed for quantum computers to be capable of executing algorithms using hundreds of logical qubits in a fault-tolerant manner. Recent experiments have progressed towards this by demonstrating sufficiently low error rates for state preservation of a single logical qubit. However, quantum computation algorithms also require that these logical qubits can be entangled and that gate operations can be performed on them. Lattice surgery is a technique that offers a practical approach for implementing such gates, particularly in planar quantum processor layouts. Here we demonstrate lattice surgery between two distance-three repetition-code qubits by splitting a single distance-three surface-code qubit. Using a quantum circuit that is fault-tolerant for bit-flip errors, we achieve an improvement in the value of the decoded Z Z logical two-qubit observable compared with a similar non-encoded circuit. We therefore demonstrate the functional building blocks needed for lattice-surgery operations on larger-distance codes based on superconducting circuits.","Nature Physics",NA,NA,NA,"top_journals",TRUE,FALSE,"top_journals_lattice_urgery_reali_httpsdoiorg1.pdf",1.9,"unpaywall_doi"
"2602.15827","Perceptive Humanoid Parkour: Chaining Dynamic Human Skills via Motion Matching","Zhen Wu; Xiaoyu Huang; Lujie Yang; Yuanhang Zhang; Koushil Sreenath; Xi Chen; Pieter Abbeel; Rocky Duan; Angjoo Kanazawa; Carmelo Sferrazza; Guanya Shi; C. Karen Liu","2026-02-17",1,"While recent advances in humanoid locomotion have achieved stable walking on varied terrains, capturing the agility and adaptivity of highly dynamic human motions remains an open challenge. In particular, agile parkour in complex environments demands not only low-level robustness, but also human-like motion expressiveness, long-horizon skill composition, and perception-driven decision-making. In this paper, we present Perceptive Humanoid Parkour (PHP), a modular framework that enables humanoid robots to autonomously perform long-horizon, vision-based parkour across challenging obstacle courses. Our approach first leverages motion matching, formulated as nearest-neighbor search in a feature space, to compose retargeted atomic human skills into long-horizon kinematic trajectories. This framework enables the flexible composition and smooth transition of complex skill chains while preserving the elegance and fluidity of dynamic human motions. Next, we train motion-tracking reinforcement learning (RL) expert policies for these composed motions, and distill them into a single depth-based, multi-skill student policy, using a combination of DAgger and RL. Crucially, the combination of perception and skill composition enables autonomous, context-aware decision-making: using only onboard depth sensing and a discrete 2D velocity command, the robot selects and executes whether to step over, climb onto, vault or roll off obstacles of varying geometries and heights. We validate our framework with extensive real-world experiments on a Unitree G1 humanoid robot, demonstrating highly dynamic parkour skills such as climbing tall obstacles up to 1.25 m (96% robot height), as well as long-horizon multi-obstacle traversal with closed-loop adaptation to real-time obstacle perturbations. Figure 1: Perceptive Humanoid Parkour (PHP) enables a Unitree G1 humanoid robot to execute highly dynamic, long-horizon parkour behaviors using onboard perception. By composing various agile human skills via motion matching and a teacher-student training pipeline, we train a single multi-skill visuomotor policy capable of complex contact-rich maneuvers including (a) cat-vaulting over a short obstacle followed by dash-vaulting over a higher obstacle at approximately 3 m/s, (b) climbing onto a 1.25 m (96% of robot height) wall, and rolling down, (c) speed-vaulting over an obstacle at approximately 3 m/s, and (d) a 60-second continuous traversal of a complex parkour course with autonomous skill selection and seamless transitions. ††footnotetext: * Equal contribution.",NA,"https://arxiv.org/pdf/2602.15827v1.pdf",NA,NA,"arxiv",TRUE,FALSE,"arxiv_perceptive_humanoid__260215827.pdf",3.41,"arxiv_pdf"
"2602.15823","CrispEdit: Low-Curvature Projections for Scalable Non-Destructive LLM Editing","Zarif Ikram; Arad Firouzkouhi; Stephen Tu; Mahdi Soltanolkotabi; Paria Rashidinejad","2026-02-17",1,"A central challenge in large language model (LLM) editing is capability preservation: methods that successfully change targeted behavior can quietly game the editing proxy and corrupt general capabilities, producing degenerate behaviors reminiscent of proxy/reward hacking. We present CrispEdit, a scalable and principled second-order editing algorithm that treats capability preservation as an explicit constraint, unifying and generalizing several existing editing approaches. CrispEdit formulates editing as constrained optimization and enforces the constraint by projecting edit updates onto the low-curvature subspace of the capability-loss landscape. At the crux of CrispEdit is expressing capability constraint via Bregman divergence, whose quadratic form yields the Gauss-Newton Hessian exactly and even when the base model is not trained to convergence. We make this second-order procedure efficient at the LLM scale using Kronecker-factored approximate curvature (K-FAC) and a novel matrix-free projector that exploits Kronecker structure to avoid constructing massive projection matrices. Across standard model-editing benchmarks, CrispEdit achieves high edit success while keeping capability degradation below 1% on average across datasets, significantly improving over prior editors. Subjects: Machine Learning (cs.LG); Artificial Intelligence (cs.AI) Cite as: arXiv:2602.15823 [cs.LG] (or arXiv:2602.15823v1 [cs.LG] for this version) https://doi.org/10.48550/arXiv.2602.15823",NA,"https://arxiv.org/pdf/2602.15823v1.pdf",NA,NA,"arxiv",TRUE,FALSE,"arxiv_cri_pedit_low-curvat_260215823.pdf",2.28,"arxiv_pdf"
"2602.15816","Developing AI Agents with Simulated Data: Why, what, and how?","Xiaoran Liu; Istvan David","2026-02-17",1,"As insufficient data volume and quality remain the key impediments to the adoption of modern subsymbolic AI, techniques of synthetic data generation are in high demand. Simulation offers an apt, systematic approach to generating diverse synthetic data. This chapter introduces the reader to the key concepts, benefits, and challenges of simulation-based synthetic data generation for AI training purposes, and to a reference framework to describe, design, and analyze digital twin-based AI simulation solutions. keywords: AI simulation, AI training, Digital twins, Synthetic data 1 Introduction Modern artificial intelligence (AI) is enabled by large volumes of high-quality data, and the capacity to process it using powerful computational techniques Zhou et al. (2017). In modern AI, the performance and reliability of AI models are closely linked to the characteristics of their training data Rujas et al. (2025). This is a stark contrast with classical symbolic AI, supported by formal methods and logic Smolensky (1987). However, acquiring data that is reliably of high volume and capacity, is often a challenge. Barriers, such as acquisition costs, privacy constraints, and safety concerns often limit access to real-world data Zhou et al. (2017). In many engineering domains, proprietary data, data silos, and sensitive operational procedures complicate the acquisition of data Farahani and Monsefi (2023). The acute scarcity of labeled data, a precondition for many supervised learning tasks, is also well-documented Hagendorff and Wezel (2020). And even when data is available, issues such as incompleteness, inconsistencies, duplication, and noise can compromise its usability. To address these limitations associated with real-world data, various approaches for generating synthetic data have been proposed Figueira and Vaz (2022). Synthetic data is generated from a sufficiently detailed and realistic model. Synthetic data can be used to enrich real data or to completely replace it Jordon et al. (2022). The appeal of such techniques is obvious as generating synthetic data has much lower costs than obtaining real data, e.g., through measurements and observations that may be costly, time-consuming, and hazardous. A particular way of generating synthetic data is simulation. Simulators are programs that encode a system’s probabilistic behavior and enact it to computationally exhibit various states of the system Ross (2022). This enactment is called the simulation and its output, the simulation trace, reflects system’s behavior and constitutes the data that can be used for AI training. By generating valuable data in a virtual environment, simulation offers a scalable and cost-effective alternative to real-world data collection. Recently, Garner, one of the leading consulting firms identified “AI simulation” as a fast-emerging technological trend. In their definition, AI simulation is “the combined application of AI and simulation technologies to jointly develop AI agents and the simulated environments in which they can be trained, tested and sometimes deployed. It includes both the use of AI to make simulations more efficient and useful, and the use of a wide range of simulation models to develop more versatile and adaptive AI systems” Gartner Research (2023). Clearly, simulation-based methods for producing AI training data are drawing significant attention from researchers, practitioners, and companies alike. For example, Bu et al. (2021) use the CARLA Dosovitskiy and others (2017) simulator to generate diverse synthetic images of rare street objects (e.g., fire hydrants and crosswalks) with automatic annotations, addressing the data scarcity challenge in object detection. Andrychowicz et al. (2020) use simulated environments based on the MuJoCo Todorov et al. (2012) physics engine to train reinforcement learning (RL) policies for dexterous robotic hand manipulation, successfully transferring emergent human-like manipulating behaviors to the physical ... [Truncated/Content too long]",NA,"https://arxiv.org/pdf/2602.15816v1.pdf",NA,NA,"arxiv",TRUE,FALSE,"arxiv_developing_ai_agent__260215816.pdf",0.74,"arxiv_pdf"
