"id","title","authors","date","days_ago","abstract","journal","pdf_url","openalex_pdf","europepmc_pdf","source","pdf_ok","pdf_blocked","pdf_file","pdf_mb","pdf_source"
"https://doi.org/10.1038/s41467-026-69679-4","R-loop editing by DNA cytosine deaminase APOBEC3B modulates the activity of oestrogen receptor enhancers","Zhang Chi; Lu Yu-jing; Chen Bingjie; Bai Zhiyan; Zeng Qiaoxi; Hervieu Alexia; Licciardello Marco P.; Mitsopoulos Konstantinos; Al-Lazikani Bissan; Tortorici Marcello; Rossanese Olivia W.; Workman Paul; Clarke Paul A.","2026-02-18",0,"Abstract Oestrogen receptor (ER) activation leads to the formation of DNA double strand breaks (DSB), promoting genomic instability and tumour heterogeneity. The single-stranded DNA cytosine deaminase APOBEC3B (A3B) serves as a co-activator of ER and is implicated in inducing DSBs at transcriptional enhancers regulated by ER. Using whole-genome sequencing in an engineered cell model lacking base excision repair (BER) function, we demonstrate that A3B preferentially targets transcriptionally active regulatory regions in an R-loop-dependent manner. Strand-specific DNA:RNA immunoprecipitation sequencing (ssDRIP-seq) and ssDNA-associated protein immunoprecipitation sequencing (SPI-seq) confirm that A3B binds to and deaminates ssDNA within R-loops, a process facilitated by ER transactivation. Furthermore, BER-mediated processing of A3B-induced uracil bases contributes to the formation of R-loop-associated DSBs, which are essential for ER-regulated gene activation. These findings establish a role for A3B in R-loop homeostasis and transcriptional regulation, with implications for understanding ER-driven genomic instability and potential therapeutic targeting of A3B.","Nature Communications",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/d41586-026-00474-3","Why sky-high pay for AI researchers is bad for the future of science","Sanders Nathan E.; Schneier Bruce","2026-02-17",1,"","Nature",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/s41467-026-69671-y","High efficiency CRISPR knock-in demonstrates that TCF1 is insufficient to reverse T cell exhaustion","de Menezes Maria N.; Chen Amanda X. Y.; Kulkarni Nihali; Sampurno Shienny; Saw Nicole Y. L.; Yap Kah Min; Pérez-Núñez Iván; Roth Sara; Deguit Christian Deo T.; Haugen Brandon; Ramsbottom Kelly M.; Munoz Isabelle; Beavis Paul A.; Parish Ian A.","2026-02-17",1,"","Nature Communications",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/d41586-026-00522-y","Daily briefing: New platform lets AI agents hire human helpers","Smith Jacob","2026-02-16",2,"","Nature",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/s41587-026-03001-x","Clinical progress of engineered cellular immunotherapies for autoimmunity","Solimani Farzan; Amagai Masayuki; Bollard Catherine M.; Payne Aimee S.","2026-02-16",2,"","Nature Biotechnology",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/s41588-026-02504-2","Modeling the evolutionary dynamics of clonal hematopoiesis","Marzban Sadegh; Stiehl Thomas; Xie Zhuoer; Andersen Morten; Snyder Jordan; Gudmand-Høyer Johanne; Ottesen Johnny T.; Mon Père Nathaniel V.; Werner Benjamin; Huang Weini; DeZern Amy E.; Sekeres Mikkael A.; Walter Matthew J.; Padron Eric; Gillis Nancy; West Jeffrey","2026-02-16",2,"","Nature Genetics",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/s41588-025-02474-x","Comprehensive repertoire of the chromosomal alteration and mutational signatures across 16 cancer types","Everall Andrew; Tapinos Avraam; Hawari Aliah; Cornish Alex J.; Sud Amit; Chubb Daniel; Kinnersley Ben; Frangou Anna; Barquin Miguel; Jung Josephine; Church David N.; Alexandrov Ludmil B.; Houlston Richard S.; Gruber Andreas J.; Wedge David C.","2026-02-13",5,"Abstract Whole-genome sequencing (WGS) enables exploration of the full spectrum of oncogenic processes that generate characteristic patterns of mutations. Mutational signatures provide clues to tumor etiology and highlight potentially targetable pathway defects. Here alongside single-base substitution, doublet-base substitution, small insertion and deletion and copy number aberration signatures previously covered by the Catalogue of Somatic Mutations in Cancer (COSMIC), we report signatures from an additional mutation type, structural variations (SVs), extracted de novo from WGS in 10,983 patients across 16 tumor types recruited to the 100,000 Genomes Project. Across the five mutation classes, we report 134 signatures, 26 of which are new to COSMIC, including an SV signature reference set. By relating signatures to genomic features and clinical phenotypes, we provide further insights into mutagenic processes and the application of signature analysis to precision oncology.","Nature Genetics",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1126/science.adx6931","Structural ontogeny of protein-protein interactions","Yang Aerin; Jiang Hanlun; Jude Kevin M.; Akpinaroglu Deniz; Allenspach Stephan; Li Alex Jie; Bowden James; Perez Carla Patricia; Liu Liu; Huang Po-Ssu; Kortemme Tanja; Listgarten Jennifer; Garcia K. Christopher","2026-02-12",6,"Understanding how protein binding sites evolve interactions with other proteins could hold clues to targeting “undruggable” surfaces. We used synthetic coevolution to engineer new interactions between naïve surfaces, simulating the de novo formation of protein complexes. We isolated seven distinct structural families of protein Z-domain complexes and found that synthetic complexes explore multiple shallow energy wells through ratchet-like docking modes, whereas complexes formed by natural binding sites converged in a deep energy well with a relatively fixed geometry. Epistasis analysis of a machine learning–estimated fitness landscape revealed “seed” contacts between binding partners that anchored the earliest stages of encounter complex formation. Our results suggest that “silent” surfaces have a shallower energy landscape than natural binding sites, disfavoring tight binding, likely owing to evolutionary counterselection.","Science",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1126/science.ads1246","Transcription factor Etv3 controls the tolerogenic function of dendritic cells","Adams Nicholas M.; Martinez-Krams Daniel; Esteva Eduardo; Ra Ai C.; Alexiou Allegra Iliadi; Jin Hua; Yun Tae Jin; Tellaoui Rayan Sleiman; Mudianto Tenny; Vollmer Emily; Novikova Ekaterina; Tan Yanjun; Huntley William; Krichevsky Oleg; Dolgalev Igor; Izmirly Peter; Buyon Jill P.; Moreira Andre L.; Lund Amanda W.; Reizis Boris","2026-02-12",6,"Dendritic cells (DCs) facilitate the maintenance of immunological tolerance in the steady state. We report that transcription factor Etv3 is preferentially expressed in mature DCs, including tissue-derived migratory DCs (migDCs), and facilitates their homeostatic maturation and CCR7-dependent migration. Mice with global or DC-specific deletion of Etv3 manifested the expansion of CD25 low regulatory T (T reg ) cells, spontaneous activation of conventional T cells, and multiorgan T cell infiltration. Etv3 deficiency exacerbated TLR7-driven systemic lupus erythematosus (SLE)–like disease, supporting the reported genetic association of human ETV3 with SLE. Etv3-deficient migDCs up-regulated multiple costimulatory molecules, including OX40 ligand (OX40L/TNFSF4), whose blockade partially rescued the T reg cell abnormalities. These results identify Etv3 as an essential regulator of the tolerogenic function of DCs and implicate it in the regulation of human autoimmunity.","Science",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/s41556-026-01876-1","THY1+ cancer stem cells drive metastasis through a pseudohypoxic state shaped by neutrophil-derived mitochondria","Wan Wen-Hua; Li Pei-Lin; Cao Wen-Jie; Li Zheng-Xi; Xin Yu-Qi; Wang Jun-Cheng; Chen Lei; Liu Lianxin; Cai Muyan; Zheng Limin; Lao Xiang-Ming; Wei Yuan; Kuang Dong-Ming","2026-02-12",6,"","Nature Cell Biology",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
