"id","title","authors","date","days_ago","abstract","journal","pdf_url","openalex_pdf","europepmc_pdf","source","pdf_ok","pdf_blocked","pdf_file","pdf_mb","pdf_source"
"https://doi.org/10.1038/d41586-026-00288-3","AI offers way to image and assess clinical cell samples","Xu Yinuo; Huang Zhi","2026-02-18",1,"","Nature",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/d41586-026-00290-9","AI succeeds in diagnosing rare diseases","Lassmann Timo","2026-02-18",1,"","Nature",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/s41467-026-69529-3","Climate extremes intensify global lake eutrophication by increasing the stress resistance of harmful bloom-forming algae","Wang Chenyu; Wang Mengmeng; Xie Mengjiao; Qi Liya; Chen Menggaoshan; Song Xiaohua; Zhou Zhi; Shi Xiaoli; Yin Jingyun; Wei Yong’an; Xu Minxiang; Pan Liyu; Miao Ai-Jun; Yang Liuyan","2026-02-17",2,"","Nature Communications",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/s41467-026-69487-w","Snow or rain? hybrid AI deciphers surface precipitation phase from satellite observations","Yang Chunlei; Li Haoran; Zhu Runzhe; Wang Yan; Zhang Feng; Gu Mingjian; Jiang Geng-Ming; Zhang Renhe; Tang Xu","2026-02-16",3,"Abstract Surface precipitation phase transition is conducive to devastating snowstorms and avalanches yet remains a global challenge due to the scarcity of surface observations. Here, we present the Real-time Precipitation Phase-Intensity Collaborative Retrieval Network (RePPIC-Net), a hybrid AI framework that quantifies surface precipitation phase from satellite observations. By integrating real-time 3D atmospheric physics fields from the AI-driven FuXi model with operational geostationary satellite observations through a hierarchical architecture, our system enables real-time monitoring of surface precipitation phase, as opposed to at least 4-hour latency of current operational systems. Validated against ground stations in China, RePPIC-Net achieves a Critical Success Index for Phase and Detection of 0.1574 (snowfall) and 0.3147 (rainfall) for 0.1-5 mm/h precipitation, outperforming 4-hour latency operational products’ respective scores of 0.1001 and 0.3064. The real-time precipitation phase discrimination capability of RePPIC-Net allows the development of a satellite-based surface precipitation phase nowcasting system, meeting the need for 1-3 hour global surface precipitation phase transition warnings. RePPIC-Net provides a replicable blueprint for AI-powered real-time weather monitoring, filling a gap in wintertime weather disaster warnings.","Nature Communications",NA,NA,NA,"top_journals",TRUE,FALSE,"top_journals_snow_or_rain_hybrid__httpsdoiorg1.pdf",2.61,"unpaywall_doi"
"https://doi.org/10.1126/science.ads1246","Transcription factor Etv3 controls the tolerogenic function of dendritic cells","Adams Nicholas M.; Martinez-Krams Daniel; Esteva Eduardo; Ra Ai C.; Alexiou Allegra Iliadi; Jin Hua; Yun Tae Jin; Tellaoui Rayan Sleiman; Mudianto Tenny; Vollmer Emily; Novikova Ekaterina; Tan Yanjun; Huntley William; Krichevsky Oleg; Dolgalev Igor; Izmirly Peter; Buyon Jill P.; Moreira Andre L.; Lund Amanda W.; Reizis Boris","2026-02-12",7,"Dendritic cells (DCs) facilitate the maintenance of immunological tolerance in the steady state. We report that transcription factor Etv3 is preferentially expressed in mature DCs, including tissue-derived migratory DCs (migDCs), and facilitates their homeostatic maturation and CCR7-dependent migration. Mice with global or DC-specific deletion of Etv3 manifested the expansion of CD25 low regulatory T (T reg ) cells, spontaneous activation of conventional T cells, and multiorgan T cell infiltration. Etv3 deficiency exacerbated TLR7-driven systemic lupus erythematosus (SLE)–like disease, supporting the reported genetic association of human ETV3 with SLE. Etv3-deficient migDCs up-regulated multiple costimulatory molecules, including OX40 ligand (OX40L/TNFSF4), whose blockade partially rescued the T reg cell abnormalities. These results identify Etv3 as an essential regulator of the tolerogenic function of DCs and implicate it in the regulation of human autoimmunity.","Science",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1126/science.aef0964","Stewarding AI in agriculture research","Elouafi Ismahane","2026-02-12",7,"","Science",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/s41591-025-04178-5","PRIMARY-AI: outcomes-based standards to safeguard primary care in the AI era","Zeng Dian; Car Lorainne Tudor; Khunti Kamlesh; Liu Yuanli; Bärnighausen Till; Chavannes Niels H.; Keane Pearse A.; Kunz Holger; Xue Lan; Sung Joseph J. Y.; Tham Yih Chung; Righetto Lorenzo; Sarker Rupa; Wong Samuel Yeung Shan; Boudreau Donald; Dai Qionghai; Jia Weiping; Liu Yang; Shen Dinggang; Liu Jia; Shen Weixing; Ji John S.; Wang Zhong; Wang Zhiyi; Wang Haibo; Tang Shenglan; Pei Chenyang; Jiang Zehua; Zou Zihao; Qin Yiming; Li Huating; Wang Yasha; Gunasekeran Dinesh Visva; Wong Sabrina; Xu Dong; Urbanowicz Ryan; Laranjo Liliana; Neves Ana Luisa; Liu Nan; He Yulan; Le Phuoc Van; Bressler Neil; Atun Rifat; Klonoff David C.; Sheng Bin; Shah Nigam; Car Josip; Wong Tien Yin","2026-02-11",8,"","Nature Medicine",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/s41591-026-04261-5","Author Correction: Detection of undiagnosed liver cirrhosis via AI-enabled electrocardiogram: a pragmatic, cluster-randomized clinical trial","Simonetto Douglas A.; Rushlow David; Liu Kan; Calleri Alberto; Kassmeyer Blake A.; Lennon Ryan J.; Rattan Puru; Bernard Matthew E.; Singh Gagandeep; Deyo-Svendsen Mark E.; King Graham; Stacey Stephen K.; Olofson Amy; Allen Alina; Ahn Joseph C.; Friedman Paul A.; Kamath Patrick S.; Attia Zachi I.; Noseworthy Peter A.; Shah Vijay H.","2026-02-10",9,"","Nature Medicine",NA,NA,NA,"top_journals",TRUE,FALSE,"top_journals_author_correction_de_httpsdoiorg1.pdf",0.41,"unpaywall_doi"
"https://doi.org/10.1038/s41587-025-02634-8","AI-enabled vascular grafts monitor blood flow","Cheng Zhe; Tian Bozhi","2026-02-10",9,"","Nature Biotechnology",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
"https://doi.org/10.1038/s41587-026-03008-4","Generative AI powered by nucleic acid language model enables one-round evolution of RNA aptamers","","2026-02-06",13,"","Nature Biotechnology",NA,NA,NA,"top_journals",FALSE,FALSE,NA,NA,NA
