"id","title","authors","date","days_ago","abstract","journal","pdf_url","openalex_pdf","europepmc_pdf","source","pdf_ok","pdf_blocked","pdf_file","pdf_mb","pdf_source"
"W7125704203","An Analysis Study of <scp> <i>Celastrus orbiculatus</i> </scp> Fruits ( <i>Beihehuan</i> ) for Insomnia Treatment and Potential Replacement for <scp> <i>Albizia julibrissin</i> </scp> Flowers ( <i>Hehuanhua</i> )","Changshui Yang; Lu Xue Song; Fengcheng Zhang; Xiaoxiao Duan; Ziqing Ma; Jingcheng Qian; Yanyan Zhang","2026-01-26",24,"ABSTRACT Celastrus orbiculatus fruits as Beihehuan ( BHH ) in Chinese are used as an alternative to Albizia julibrissin flowers ( Hehuanhua ) for insomnia treatment in North of China. Both of them perhaps contain similar material foundations with common components, making them highly worthy of systematic analysis of the ingredients and related pharmacological mechanisms. In this study, the components in BHH were comprehensively analyzed by LC–MS/MS‐based molecular networking technology combined with literature reports, and important targets and core active ingredients in BHH that can treat insomnia were screened through network pharmacology and molecular docking analysis. Finally, a total of 136 components were annotated and summarized. BHH had flavonoids, fatty acids, and volatile oil as similar or the same component categories and structures as Hehuanhua , especially different categories of dihydro‐ β ‐agarofuran‐type sesquiterpenoids with similar functions. The screened top 10 KEGG pathways involved signal transduction related to neurotransmitters, hormones, and addictive substances, and the selected effective ingredients could play synergistic roles in inflammation regulation and neuroprotection. These results provide that BHH may be able to replace Hehuanhua in treating insomnia and other neurological disorders; modern research can provide the scientific connotation and basis for the proposed forward‐thinking TCM theory of “effect‐oriented source unification” and “heteroagent possessing homofunction.”",NA,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bmc.70370","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bmc.70370",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7124287233","Utilization, user evaluation, and associated factors of Traditional Chinese Medicine techniques for insomnia symptoms among Chinese community-dwelling older adults: a cross-sectional study","Yun Mo; Li Hu; Xi Shen; Yi Zhang; Li Sx; Jiaxiu Peng; Yuping Long; Xiangrong Wu; Binbin Xu","2026-01-15",35,"Background Insomnia symptoms are common among older adults, and Traditional Chinese Medicine (TCM) techniques have shown benefits in relieving these symptoms. However, real-world evidence on their use, evaluation, and associated factors in community settings remains limited. This study aimed to describe TCM use and user evaluation for insomnia symptoms among community-dwelling older adults and to explore associated factors. Methods An exploratory cross-sectional survey was conducted from November 2024 to April 2025 in 15 communities in Changsha, China. Older adults (≥60 years) with clinically significant insomnia symptoms (Insomnia Severity Index ≥8) were recruited. Data were collected on TCM use, perceived satisfaction and effectiveness, and predisposing, enabling, and need-related factors based on the Andersen Behavioral Model. Logistic regression was used to identify associated factors. Results Among 311 participants, 51.1% reported using at least one TCM technique, most commonly tuina (71.1%) and moxibustion (69.8%). Satisfaction was generally high, though only 20.1–28.3% were “very satisfied” and 22.6% perceived the interventions as “highly effective.” Four factors were significantly associated with TCM use: pre-retirement occupation and awareness of TCM techniques (predisposing), having relatives or friends engaged in TCM-related industries (enabling), and insomnia severity (need). Conclusion This study provides preliminary evidence on the real-world use of TCM techniques for insomnia symptoms among community- dwelling older adults. More than half of participants reported using at least one TCM technique, yet only a minority rated the TCM services as “very satisfied” or “highly effective.” Pre-retirement occupation, awareness of TCM techniques, having relatives or friends working in TCM-related industries, and insomnia severity were associated with TCM technique use. These findings may inform the design of culturally sensitive interventions to manage insomnia symptoms among community-dwelling older adults in similar contexts. Future research should further examine implementation quality and ways to improve both utilization and user satisfaction.",NA,"https://public-pages-files-2025.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2025.1746822/pdf",NA,NA,"openalex",TRUE,FALSE,"openalex_utilization_u_er_eva_w7124287233.pdf",0.33,"original"
"W7124313584","Comparative effectiveness of different acupuncture therapies for perimenopausal syndrome: a systematic review and network meta-analysis","Xiaoyan Yang; Fengya Zhu; Yue Zhong; Pengfei Liao; Qiang Ji; Siyun Li; Xia Feng; Yumiao Zheng; Qian Xue; G. Chen","2026-01-15",35,"Background: Perimenopausal women commonly suffer from symptoms like hot flashes, insomnia, and mood swings, impacting quality of life. While acupuncture is a widely used and effective non-pharmacological treatment, the relative efficacy of different acupuncture modalities remains unclear. This study aimed to compare the effects of various acupuncture approaches on perimenopausal symptoms through a network meta-analysis. Methods: A comprehensive literature search was conducted in PubMed, Embase, Cochrane Library, Web of Science, CNKI, Wanfang, CBM, and VIP databases for randomized controlled trials (RCTs) comparing acupuncture interventions for perimenopausal syndrome, with the search updated to June 27, 2025. Risk of bias was assessed using the Cochrane tool. Network meta-analysis was performed using Stata 15 and R version 4.3. Results: A total of 49 RCTs with 4,579 participants were included. Acupuncture combined with Western medicine (AWM) was most effective for hormone regulation. Acupuncture plus Chinese medicine (ACM) best improved traditional Chinese medicine (TCM) symptoms, while electroacupuncture combined with Western medicine (EAWM) was optimal for menopausal symptoms and depression. Electroacupuncture (EA) alone was most effective for anxiety, auricular plus body acupuncture (AAA) improved sleep the most, and moxibustion (M) showed the highest overall effectiveness. Conclusion: Various acupuncture modalities show beneficial effects on perimenopausal syndrome, particularly AWM, EAWM, EA, AAA, and M. These findings provide evidence-based guidance for individualized treatment selection, although further high-quality RCTs are warranted for validation. Systematic Review Registration: https://osf.io/search, identifier 10.17605/OSF.IO/3F2GJ. 1 Introduction Perimenopause refers to the transitional phase leading up to menopause and the first year following the cessation of menstruation (1). During this stage, declining ovarian function and fluctuating estrogen levels often lead to the development of perimenopausal syndrome (2). This syndrome commonly manifests through a variety of clinical symptoms, such as hot flashes, excessive sweating, urinary incontinence, joint and muscle pain, fatigue, sleep disturbances, vaginal dryness, sexual dysfunction, and sensations like formication (2, 3). As the condition progresses, it can markedly impair quality of life, contributing to increased emotional stress, social discomfort, and psychological distress (4, 5). According to a 2012 World Health Organization (WHO) projection, the global population of perimenopausal women is expected to reach 1.2 billion by 2030, with approximately 76% residing in low- and middle-income countries (6). The perimenopausal transition is characterized by endocrine fluctuations that precipitate a spectrum of physical and psychological disturbances (7), including vasomotor symptoms (hot flushes, palpitations, night sweats, and sleep disruption), genitourinary complaints (vaginal dryness or pruritus, sexual dysfunction, and urinary symptoms), mood disorders (depression, anxiety, and irritability), and abnormal uterine bleeding (8–12). These manifestations are associated with a substantial decline in quality of life, contributing to increased familial and societal burden (13, 14). Hormone replacement therapy (HRT) is currently regarded as the first-line treatment for perimenopausal syndrome, particularly for alleviating vasomotor symptoms, as endorsed by both international and regional clinical guidelines (15, 16). However, recent evidence indicates that HRT has been linked to an elevated risk of serious long-term adverse events, including endometrial cancer (17), breast cancer (18), stroke (19), and coronary artery disease (20). Acupuncture, a core component of traditional Chinese medicine (TCM), has been practiced in China for over 4,000 years (21) and is widely recognized for its therapeutic role in managing perimenopausal symptoms (22). It is considered one ... [Truncated/Content too long]",NA,NA,"https://doi.org/10.3389/fneur.2025.1696085",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7122632137","Insomnia treatment based on the regulation of the GABAergic system: traditional Chinese medicine perspectives and therapeutic approaches","Chen-zhe Cheng; Ming-zhen Xie; Yuan Tian; Wen-qi Qiao; Ze-yu Yu; Shiqing Wang; Feng Yun","2026-01-12",38,"Insomnia is a common clinical manifestation of central nervous system (CNS) dysfunction that may be attributable to the involvement of abnormalities in multiple systems. Dysfunction of the gamma-aminobutyric acid (GABA) system is one of the key pathologic factors responsible for the increased neural excitability. GABA has been regarded as the major inhibitory neurotransmitter in the CNS, which can maintain the dynamic balance of neural networks by regulating neuronal excitability. Traditional Chinese medicine (TCM), with its multi-component, multi-target therapeutic advantages, shows unique potential in regulating the GABAergic system to improve sleep disorders. Accordingly, this review systematically elucidated the underlying mechanisms of TCM in treating insomnia by regulating the GABAergic system. According to the results, the intervention pathways of TCM exhibited multidimensional characteristics. TCM could effectively enhance GABA levels, strengthen GABAergic neural signal transmission, and improve insomnia symptoms by activating GABA receptor expression, upregulating glutamic acid decarboxylase (GAD) expression, and inhibiting GABA transaminase (GABA-T) activity. Furthermore, TCM could regulate the function of the hypothalamic–pituitary–adrenal (HPA) axis, inhibit neuroinflammation, regulate circadian rhythms, and enhance neurotrophic mechanisms, thereby synergizing with the GABAergic system to exert a sedative and sleep-promoting effect. With a systematic elaboration of the mechanisms of the GABAergic system, findings in this study may provide a theoretical basis for establishing a TCM evaluation system for insomnia based on the modulation of the GABAergic system. It can also offer fresh insights into the diagnosis and treatment of insomnia from the perspective of TCM, expand new directions for clinical research, and supply potential reference for future in-depth studies. 1 Introduction Insomnia, also known as sleeplessness, is a common sleep disorder and mental illness clinically (Benca and Buysse, 2018). Patients with insomnia may usually experience difficulty falling asleep or maintaining sleep, accompanied by irritability and fatigue during waking hours. Primary insomnia refers to its independent presence as a mental illness. Secondary insomnia, on the other hand, often coexists with other underlying diseases, mental disorders, or iatrogenic factors as a concomitant symptom (Buysse, 2013; Fornaro et al., 2024). According to the first meta-analysis on the prevalence of insomnia among the general Chinese population conducted by Cao et al. (Cao et al., 2017) the prevalence rate reached 15%; and the combined prevalence was significantly lower in individuals with an average age ≥43.7 years compared to those aged <43.7 years, suggesting a trend toward younger onset of insomnia in China. Meanwhile, the America Insomnia Survey indicates that approximately 23.2% of the working population suffers from insomnia, and its incidence is on the rise in the United States (Dopheide, 2020). Insufficient sleep has been proven to be a risk factor for various diseases, such as hypertension (Fernandez-Mendoza et al., 2012), diabetes (Vgontzas et al., 2009), cardiovascular and cerebrovascular diseases (Nambiema et al., 2023; Gottesman et al., 2024), cancer (Shi et al., 2020), depression (Li et al., 2016), and anxiety disorders (Chellappa and Aeschbach, 2022), and also as a complication of several diseases such as respiratory system diseases (Bjornsdottir et al., 2020) and mental disorders (Hertenstein et al., 2022). For mental disorders (e.g., depression and anxiety), insomnia serves both as a risk factor and a secondary symptom, which is prone to form a vicious cycle in the affected individuals (Mirchandaney et al., 2022). Given the prevalence of insomnia and its impact on patients’ subjective well-being and physiological homeostasis, it is pivotal to treat and prevent insomnia effectively, thereby protecting the physical and mental healt... [Truncated/Content too long]",NA,NA,"https://doi.org/10.3389/fnins.2025.1670273",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7119055724","Auricular Acupressure for Insomnia in Patients with Decompensated Hepatitis B-Related Liver Cirrhosis: A Clinical Observation","Xiaotong Du; Jingfang Hu; Qi Feng; Shuang Liang; Shuhui Zhao; Feifei Liu","2026-01-06",44,"Objective This study aims to evaluate the efficacy and safety of auricular acupressure for insomnia in patients with decompensated hepatitis B-related liver cirrhosis (DHBV-LC). Methods This prospective randomized controlled trial enrolled 60 patients with DHBV-LC and comorbid insomnia between May 2023 and June 2024. The participants were randomly divided into two groups: a control group ( n = 30) receiving standard therapy and an intervention group ( n = 30) receiving standard therapy combined with auricular acupressure for a course of 4 weeks. The observed indicators included the Pittsburgh Sleep Quality Index (PSQI), the Insomnia Severity Index (ISI), traditional Chinese medicine (TCM) syndrome scores, clinical response rates, and adverse events. Independent-sample t -tests and chi-square ( χ ²) tests were used for statistical analysis. Results Both groups showed significant reductions in PSQI, ISI, and TCM syndrome scores compared with baseline ( P &lt; 0.05). The intervention group showed greater reductions in PSQI (3.51 ± 0.69 vs 2.62 ± 0.68; P &lt; 0.001), ISI (5.17 ± 1.05 vs 3.43 ± 1.27; P &lt; 0.001), and TCM syndrome (11.23 ± 1.17 vs 13.60 ± 1.19; P &lt; 0.001) scores. Clinical response rates were higher in the intervention group (86.7% vs 65.5%; P &lt; 0.05). No significant difference in adverse events was observed ( P &gt; 0.05). Conclusion Auricular acupressure can significantly improve sleep quality in patients with insomnia secondary to DHBV-LC with good safety and tolerability, making it a promising therapeutic approach worthy of wider clinical application.",NA,NA,NA,NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7126031857","ZhiAn-GPT: An Explainable Language Model for Generating TCM Prescriptions for Insomnia","Qian Dai","2026-01-01",49,"",NA,NA,"https://doi.org/10.13140/rg.2.2.30280.79368",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7125414633","Discovery of the Underlying Mechanism of Ginger Juice Processed Ziziphi Spinosae Semen for Its Sedative‐Hypnotic Effect on Insomnia Mice via Regulation of HPA Axis and cAMP/PKA Signaling Pathway","Lintong Xie; Xia Zhang; Fangfang Xue; Yifei Gao; Jizhen Guo; Hui Zhu; Xiao Liu","2026-01-01",49,"ABSTRACT Based on Traditional Chinese Medicine (TCM) theory, the efficacy and mechanism of Ginger juice processed Ziziphi Spinosae Semen (GJPZSS) for treating insomnia, particularly stress‐related types, were investigated to provide empirical evidence. An insomnia model was induced in mice by DL‐4‐chlorophenylalanine (PCPA) and chronic tail clamping. The sedative effect was evaluated by behavioral tests. Serum components from GJPZSS were analyzed by UHPLC‐Q‐TOF‐MS/MS, and 64 potential targets were identified. The cAMP signaling pathway was enriched as the core pathway by Kyoto Encyclopedia of genes and genomes (KEGG) analysis and was validated by molecular docking. GJPZSS was demonstrated to prolong sleep time, reduce immobility time, increase 5‐hydroxytryptamine (5‐HT) and gamma‐aminobutyric acid (GABA) levels, decrease hypothalamic‐pituitary‐adrenal (HPA) axis levels, and suppress neuronal death. The reduction of the cyclic adenosine monophosphate (cAMP), protein kinase A (PKA), cAMP‐response element binding protein (CREB) and brain‐derived neurotrophic factor (BDNF) in the brain was also significantly inhibited. It was concluded that the sleep‐improving effect of GJPZSS was mediated through the regulation of the HPA axis and the cAMP/PKA/CREB/BDNF signaling pathway.",NA,NA,NA,NA,"openalex",FALSE,FALSE,NA,NA,NA
"W4417121703","Cost-effectiveness analysis of commercial Chinese polyherbal preparations for primary insomnia: based on network meta-analysis","Si-Hong Yang; Fanya Yu; Xinghua Xiang; Chuchuan Wan; Yu‐Meng Tan; Ning Ma; Yajing Li; Long Ge; Xing Liao; HuiYan Zhao","2025-12-08",73,"Objectives Building upon prior systematic reviews and network meta-analyses, this study evaluated the cost-effectiveness of four commercial Chinese polyherbal preparations (CCPPs)—Tian Meng Oral Liquid/Capsules (TM), Shen-Qi-Wu-Wei-Zi Tablets (SQWWZ), Wu Ling Capsules (WL), and Bai-Le-Mian Capsules (BLM)—for treating primary insomnia. Comparative findings informed clinical decision-making and health policy formulation. Methods A cost-effectiveness analysis was conducted from a healthcare system perspective. A patient disease course model was developed using systematic literature search and network meta-analysis combined with drug pricing data. Intervention strategies (monotherapy or combination therapy) were simulated to assess per-capita costs and health outcomes. Incremental cost-effectiveness ratios were calculated and compared against the willingness-to-pay threshold. Deterministic sensitivity analysis (DSA), Monte Carlo simulations for probabilistic sensitivity analysis and cost-effectiveness acceptability curves were used to test the overall stability and acceptable probability of the evaluation results. Results At a WTP threshold of ¥89,358.00 per quality-adjusted life year (QALY), the combination of TM and benzodiazepines (BZDs) ranked highest in terms of cost-effectiveness, followed by WL, BLM, and SQWWZ. When the WTP threshold exceeded ¥5,897.63 per QALY, the probability that TM + BZDs was more cost-effective than WL increased. Likewise, when the WTP threshold was above ¥19,658.76 per QALY, the probability that BLM was more cost-effective than SQWWZ became greater. Conclusion Within the 60-day time horizon of this analysis, TM + BZDs demonstrated optimal cost-effectiveness for primary insomnia from a healthcare system perspective, followed by WL and BLM. Limitations in data sources constrain the generalizability of findings. Future studies adopt a societal perspective and incorporate individual-level data over longer time horizons to validate and extend current results through more comprehensive cost-utility evaluations. Furthermore, research should focus on Traditional Chinese medicine (TCM)-specific health utility scales and informing equity-focused reimbursement policies to fully capture the value of CCPPs, thereby ultimately optimizing healthcare access and resource allocation.",NA,"https://public-pages-files-2025.frontiersin.org/journals/pharmacology/articles/10.3389/fphar.2025.1682173/pdf",NA,NA,"openalex",TRUE,FALSE,"openalex_co_t-effectivene_ana_w4417121703.pdf",2.28,"original"
"W7114926467","Supplementary file 1_Cost-effectiveness analysis of commercial Chinese polyherbal preparations for primary insomnia: based on network meta-analysis.docx","Sihong Yang (12977270); Fanya Yu (22804940); Xinghua Xiang (3621047); Chuchuan Wan (12410367); Yumeng Tan (19239127); Ning Ma (155058); Yajing Li (1394572); Long Ge (511458); Xing Liao (1921759); Hui Zhao (7395)","2025-12-08",73,"Objectives: Building upon prior systematic reviews and network meta-analyses, this study evaluated the cost-effectiveness of four commercial Chinese polyherbal preparations (CCPPs)—Tian Meng Oral Liquid/Capsules (TM), Shen-Qi-Wu-Wei-Zi Tablets (SQWWZ), Wu Ling Capsules (WL), and Bai-Le-Mian Capsules (BLM)—for treating primary insomnia. Comparative findings informed clinical decision-making and health policy formulation. Methods: A cost-effectiveness analysis was conducted from a healthcare system perspective. A patient disease course model was developed using systematic literature search and network meta-analysis combined with drug pricing data. Intervention strategies (monotherapy or combination therapy) were simulated to assess per-capita costs and health outcomes. Incremental cost-effectiveness ratios were calculated and compared against the willingness-to-pay threshold. Deterministic sensitivity analysis (DSA), Monte Carlo simulations for probabilistic sensitivity analysis and cost-effectiveness acceptability curves were used to test the overall stability and acceptable probability of the evaluation results. Results: At a WTP threshold of ¥89,358.00 per quality-adjusted life year (QALY), the combination of TM and benzodiazepines (BZDs) ranked highest in terms of cost-effectiveness, followed by WL, BLM, and SQWWZ. When the WTP threshold exceeded ¥5,897.63 per QALY, the probability that TM + BZDs was more cost-effective than WL increased. Likewise, when the WTP threshold was above ¥19,658.76 per QALY, the probability that BLM was more cost-effective than SQWWZ became greater. Conclusion: Within the 60-day time horizon of this analysis, TM + BZDs demonstrated optimal cost-effectiveness for primary insomnia from a healthcare system perspective, followed by WL and BLM. Limitations in data sources constrain the generalizability of findings. Future studies adopt a societal perspective and incorporate individual-level data over longer time horizons to validate and extend current results through more comprehensive cost-utility evaluations. Furthermore, research should focus on Traditional Chinese medicine (TCM)-specific health utility scales and informing equity-focused reimbursement policies to fully capture the value of CCPPs, thereby ultimately optimizing healthcare access and resource allocation. 1 Introduction Insomnia is a prevalent sleep disorder. Primary insomnia (PI) is defined as a chronic condition lasting at least 3 months, marked by persistent sleep disturbances in the absence of underlying medical or psychiatric disorders (Sateia, 2014). PI is often attributed to intrinsic dysregulation of sleep mechanisms or abnormal cognitive-behavioral patterns, including neurotransmitter imbalances (e.g., serotonin, GABA), functional abnormalities in key brain regions (e.g., prefrontal cortex, hippocampus, thalamus), and disrupted functional connectivity within brain networks. Beyond reducing quality of life, PI is associated with an increased risk of comorbidities, such as anxiety, depression, hypertension, and cardiovascular diseases (Ge et al., 2019; Riemann et al., 2023). Epidemiological studies revealed that approximately 30%–36% of adults reported at least one nocturnal insomnia symptom (Morin and Jarrin, 2022), with 40% progressing to chronic insomnia (K Pavlova and Latreille, 2019) and nearly half of severe cases enduring for over a decade. Chronic insomnia incurs substantial economic burdens, including direct medical costs (e.g., medications, therapies) and indirect societal costs (e.g., productivity decline, accident risks) (Morin and Jarrin, 2022). Pharmacotherapy remains the mainstay of treatment for primary insomnia, particularly in regions with limited access to cognitive behavioral therapy for insomnia (CBT-I) (Morin and Buysse, 2024; Riemann et al., 2023). This encompasses both conventional synthetic drugs and standardized herbal medicines. Common conventional pharmacological agents include BZDs, selective benzodia... [Truncated/Content too long]",NA,NA,NA,NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7108329501","Acupuncture and Traditional Chinese Medicine in Surf Sports: Case Series on Recovery, Performance, and Chronic Conditions","Gomes, Ana; Lourenço, Inês; Fonseca, Marta Arbona; Bernardo, Marta","2025-12-02",79,"Acupuncture, rooted in Traditional Chinese Medicine (TCM), has been practiced for millennia to treat a variety of conditions, including pain, inflammation, anxiety, insomnia, and other chronic disorders. In recent decades, it has gained increasing recognition within integrative medicine for its role in enhancing physical recovery, regulating autonomic function, and promoting overall well-being. In the context of sports, and particularly in surfing (a discipline marked by intense physical demand and environmental exposure), acupuncture offers potential benefits such as improved muscle recovery, reduced fatigue, relief of musculoskeletal tension, enhanced circula-tion, and improved flexibility, balance, and endurance. It may also contribute to emotional reg-ulation, energy support, and the mitigation of chronic conditions that could compromise athletic performance. This exploratory and descriptive case series investigates whether individualized acupuncture treatment, combined with other TCM modalities such as herbal medicine, Tui Na massage, and dietetic therapy, can support recovery, prevent symptom recurrence, and optimize resilience in surf athletes. A brief review of recent literature supports the relevance of acupuncture in muscu-loskeletal and neurovegetative regulation; however, evidence specific to surf athletes remains scarce.The clinical cases presented demonstrate that acupuncture, when tailored to the athlete’s consti-tution and sport-specific demands, may lead to significant improvements in physical recovery, emotional balance, and overall vitality. These findings support the integration of acupuncture as a safe, adaptable, and cost-effective strategy within holistic athlete care, particularly in sports involving environmental stress and high physical load, such as surfing.",NA,NA,"https://doi.org/10.5281/zenodo.17792548",NA,"openalex",FALSE,FALSE,NA,NA,NA
