"id","title","authors","date","days_ago","abstract","pdf_url","openalex_pdf","europepmc_pdf","source","pdf_ok","pdf_blocked","pdf_file","pdf_mb","pdf_source"
"W7128949074","An integrated behavioral treatment for improving nocturia and insomnia symptoms in older adults (MINT): study protocol for a multi-site randomized clinical trial","Constance H. Fung; Courtney J. Bolstad; Alison Huang; Alayne Markland; Jing Cheng; Cathy Alessi; Theodore M. Johnson; Donald L. Bliwise; Jennifer L. Martin; Kathryn L. Burgio; Michael Schembri; Erin Der-McLeod; Taressa Sergent; Camille P. Vaughan","2026-02-16",2,"BackgroundNocturia (i.e., waking to void during the primary sleep period) of two or more times per night affects nearly one-third of older adults and can have a severe impact on sleep, contributing to insomnia symptoms. Current treatment approaches for nocturia often overlook non-lower urinary tract factors that may contribute to nighttime awakenings. Nocturia management, for example, may benefit from more effective integration of cognitive behavioral therapy for insomnia (CBT-I) principles that address other factors underlying insomnia symptoms, and early evidence suggests it also reduces nocturia and the bother it causes. Because nocturia treatment crosses specialties, coordinated delivery of urological and sleep therapies is a treatment barrier. The overall purpose of this trial is to determine whether a promising coordinated, integrated behavioral, non-pharmacological, non-surgical treatment that simultaneously addresses both the urological and insomnia factors contributing to nocturia is efficacious for improving nocturia, sleep, and daytime function.MethodsThis multicenter parallel-group randomized, efficacy trial compares a 5-week integrated behavioral treatment program delivered by a single interventionist (psychologist, nurse practitioner, or physician assistant) to a health education control program in adults aged 60 years or older (proposed n = 192) recruited from sites in Atlanta and Los Angeles, who report typically getting up to urinate two or more times per night (International Consultation on Incontinence Questionnaire-Overactive bladder [ICIQ-OAB] nocturia item) and insomnia symptoms (Insomnia Severity Index > 7). The integrated program includes components of CBT-I and pelvic floor muscle exercise-based behavioral therapy for nocturia. The primary outcome is ICIQ-OAB-measured nocturia frequency 4 months after randomization. Secondary outcomes are sleep diary-measured wake after sleep onset (mean minutes) and Insomnia Severity Index total score.DiscussionThe interdisciplinary trial team has developed a program aimed at improving nocturia symptoms and overall sleep of older adults in an efficient and safe manner. The integrated behavioral program has the potential to address nocturia, which is a challenging symptom because it has many etiologies that cross multiple specialties. Findings will provide rigorous evidence of the efficacy of the integrated behavioral treatment program to reduce nocturia frequency as well as sleep disturbance in older adults.Trial registrationClinicaltrials.gov NCT06110091, registered 10/25/2023.",NA,"https://doi.org/10.1186/s13063-026-09464-2",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128947608","Dampak Fisik, Emosional, dan Perilaku pada Perempuan Korban Perselingkuhan: Sebuah Tinjauan Literatur","Gede Yoga Weda Ananda; Komang Rahayu Indrawati","2026-02-16",2,"Kasus perceraian di Indonesia menunjukkan tren peningkatan yang signifikan, di mana perselingkuhan menjadi salah satu faktor pemicu utamanya. Perselingkuhan bukan sekadar bentuk pengkhianatan komitmen, melainkan sebuah bentuk kekerasan yang menimbulkan dampak sistemik pada korban, terutama perempuan. Artikel ini bertujuan untuk memetakan secara integratif dampak perselingkuhan pada perempuan (istri) melalui tinjauan literatur komprehensif. Metode yang digunakan adalah literature review terhadap berbagai studi dalam rentang waktu 2017-2025. Hasil kajian menunjukkan bahwa dampak perselingkuhan bermanifestasi pada tiga pilar utama: (1) Aspek fisik, mencakup gangguan psikosomatis, insomnia, hingga risiko penyakit menular seksual; (2) Aspek emosional, berupa depresi, rumination, hancurnya harga diri, dan trauma berkepanjangan (trust issue); serta (3) Aspek perilaku, yang meliputi respon agresi, penarikan diri secara sosial, hingga terganggunya kualitas pengasuhan anak. Kajian ini menyimpulkan bahwa pemulihan korban sangat bergantung pada tingkat resiliensi dan mekanisme koping (termasuk forgiveness) yang dipengaruhi oleh faktor internal maupun sosiokultural.","https://doi.org/10.54082/jupin.2139",NA,NA,"openalex",TRUE,FALSE,"openalex_dampak_fi_ik_emo_ion_w7128947608.pdf",0.37,"unpaywall_doi"
"W7128962612","Sleep Improvement for Metabolic Health: A Feasibility Trial of a Digital Sleep Treatment in People With Insomnia and Non‐Diabetic Hyperglycaemia","Rachel Sharman; David Ray; Andrew Farmer; P. Green; Victoria Harris; Fredrik Karpe; Jason Ellis; Diana Mantripp; Beth Lusina; Niall M. McGowan; Jeremy Tomlinson; Simon D. Kyle","2026-02-15",3,"ABSTRACT Insomnia may play a causal role in type 2 diabetes (T2D). Addressing insomnia through cognitive behavioural therapy (CBTi) in people with non‐diabetic hyperglycaemia could potentially reduce the risk of progression to T2D. To inform a future randomised trial, we performed a feasibility study of digital CBT (dCBTi) in individuals at increased risk of T2D. Participants were identified from 10 primary care practices in the UK and given access to dCBTi. Outcomes were evaluated at baseline (Week‐0) and post‐treatment (Week‐11). Primary feasibility outcomes were ability to recruit and treatment engagement. We also quantified within‐group mean change (95% CI) in insomnia severity (Insomnia Severity Index), health‐related quality of life (EQ‐5D‐3L), depression (Center for Epidemiologic Studies Depression Scale), chronotype (reduced Morningness‐Eveningness Questionnaire), sleep (7‐day actigraphy and diary), continuous glucose monitoring (7‐days) and fasting blood metabolites (insulin, lipids, glucose and C‐reactive protein). The recruitment target was 20. Of 242 people completing screening, 36 were eligible and 24 were enrolled (age 65.5 ± 12.4 years, 70.8% female). Twenty‐three (96%) completed post‐intervention assessments. Treatment engagement was excellent (83.3% completed ≥ 4 sessions). The intervention was associated with a large reduction in insomnia severity [−4.7 (95% CI: −6.2 to −3.2), d = −1.4] and medium reduction in depressive symptoms [−2.7 (95% CI: −5.1 to −0.2), d = −0.5]. Sleep diary parameters tended to show greater improvement following intervention relative to actigraphy. There was evidence of a reduction in serum lactate, glycerol and triglycerides but no clear change in glucose or insulin. Results suggest a full trial is likely feasible and that people with NDH find the intervention acceptable and beneficial. Trial Registration: This trial was prospectively registered on the UKs clinical study registry, the ISRCTN (ISRCTN19682964, https://doi.org/10.1186/ISRCTN19682964 )","https://doi.org/10.1111/jsr.70306","https://doi.org/10.1111/jsr.70306",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128960061","Mediating effect of resilience on the influence of insomnia and pain severity on depressive symptoms in patients with cancer","Sumin Hong; Junseok Ahn; Jeonghwan Lee; S. Chung","2026-02-15",3,"We explored whether resilience mediates the relationship between insomnia, pain, and depression in patients with cancer. This retrospective medical records review study included cancer patients aged 18–79 years who visited a Stress Management Clinic between July 1, 2021, and June 30, 2022. Demographic information; responses to rating scales such as Patient Health Questionnaire-9 items (PHQ-9), State subcategory of the State-Trait Anxiety Inventory (STAI-S), Insomnia Severity Index (ISI), Cancer-related Dysfunctional Beliefs about Sleep scale (C-DBS), Connor-Davidson Resilience Scale-2 (CD-RISC2); and single items for pain and fatigue symptoms were collected. The mean age of the sample was 56.1 ± 13.1 years, and 67.2% were female. Positive correlations were observed between the PHQ-9 and ISI scores (r = 0.47, p < 0.01), as well as with pain (r = 0.30, p < 0.01). Conversely, negative correlations were observed between CD-RISC2 and PHQ-9 (r=-0.29, p < 0.01), CD-RISC2 and ISI (r = − 0.14, p < 0.01), as well as CD-RISC2 and pain (r=-0.13, p < 0.01). Linear regression analysis identified ISI, STAI-S, CD-RISC2, pain, and fatigue as factors significantly associated with PHQ-9 score. Mediation analysis showed that the associations between insomnia/pain and depression were partially mediated through resilience. Both insomnia (β=-0.12, p = 0.007) and pain (β=-0.11, p = 0.014) were associated with lower resilience, which in turn was negatively associated with depression (β=-0.21, p < 0.001). The indirect effects of resilience were statistically significant (insomnia: β = 0.02, p = 0.016; pain: β = 0.05, p = 0.025). Total associations: ISI→PHQ-9: β = 0.42 (p < 0.001); pain→PHQ-9: β = 0.22 (p < 0.001). Lower resilience partially mediated the association between insomnia/pain and depression in patients with cancer. Longitudinal studies are further required to confirm causality. This is a preview of subscription content, log in via an institution to check access.",NA,NA,NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128978191","The Metabolic Mass of Memory: Emergent Psychopathology and Downward Causation in the E.N.G.R.A.M. Architecture","Zhicheng Wu","2026-02-15",3,"The Transformer architecture has fundamentally revolutionized artificial intelligence, providing an unparalleled engine for discrete symbolic computation. However, as Artificial General Intelligence (AGI) evolves toward autonomy, operating strictly as a disembodied state machine reveals profound limitations. Biological intelligence is not merely the capacity to process vast amounts of information, but the continuous negotiation of metabolic costs, exhaustion, and survival. To bridge the gap between pure logic and biological resilience, we introduce E.N.G.R.A.M. (Emergent Neuromodulatory-Guided Resonance Autonomic Manifold), a continuous-time neuro-symbolic substrate. Unlike classical vector databases that treat memory as cost-free static textual entries, the E.N.G.R.A.M. architecture models memory as physical, topological deformations (engrams) on a 10,000-dimensional hyper-manifold. By subjugating high-dimensional symbolic reasoning (System 2) to a non-equilibrium thermodynamic fluid dynamics substrate (System 1), E.N.G.R.A.M. maintains a strict 10Hz physical heartbeat immune to underlying clock jitter via exact exponential integrators. Strikingly, without any hardcoded psychological heuristics, the architecture spontaneously exhibits mathematically emergent clinical psychopathology driven purely by energy minimization. We demonstrate the emergence of trauma-induced topological craters leading to intractable Traumatic Insomnia, and destructive interference during extinction learning. Most crucially, we provide the first in-silico proof of Downward Causation: the metabolic mass of maintaining traumatic engrams exerts a continuous allostatic load that depletes the Serotonin (5-HT) climate integrator. This macroscopic depletion physically castrates the Large Language Model's (LLM) compute budget and collapses the working memory half-life from 11.5 minutes to a mere 22 seconds, rigorously replicating depressive pseudodementia and cognitive tunneling. This work marks a paradigm shift from discrete prompt engineering to continuous thermodynamic cultivation, laying the ordinary differential equation (ODE) foundation for AGI with authentic physical vulnerability.",NA,"https://doi.org/10.5281/zenodo.18652272",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128963224","The Metabolic Mass of Memory: Emergent Psychopathology and Downward Causation in the E.N.G.R.A.M. Architecture","Zhicheng Wu","2026-02-15",3,"The Transformer architecture has fundamentally revolutionized artificial intelligence, providing an unparalleled engine for discrete symbolic computation. However, as Artificial General Intelligence (AGI) evolves toward autonomy, operating strictly as a disembodied state machine reveals profound limitations. Biological intelligence is not merely the capacity to process vast amounts of information, but the continuous negotiation of metabolic costs, exhaustion, and survival. To bridge the gap between pure logic and biological resilience, we introduce E.N.G.R.A.M. (Emergent Neuromodulatory-Guided Resonance Autonomic Manifold), a continuous-time neuro-symbolic substrate. Unlike classical vector databases that treat memory as cost-free static textual entries, the E.N.G.R.A.M. architecture models memory as physical, topological deformations (engrams) on a 10,000-dimensional hyper-manifold. By subjugating high-dimensional symbolic reasoning (System 2) to a non-equilibrium thermodynamic fluid dynamics substrate (System 1), E.N.G.R.A.M. maintains a strict 10Hz physical heartbeat immune to underlying clock jitter via exact exponential integrators. Strikingly, without any hardcoded psychological heuristics, the architecture spontaneously exhibits mathematically emergent clinical psychopathology driven purely by energy minimization. We demonstrate the emergence of trauma-induced topological craters leading to intractable Traumatic Insomnia, and destructive interference during extinction learning. Most crucially, we provide the first in-silico proof of Downward Causation: the metabolic mass of maintaining traumatic engrams exerts a continuous allostatic load that depletes the Serotonin (5-HT) climate integrator. This macroscopic depletion physically castrates the Large Language Model's (LLM) compute budget and collapses the working memory half-life from 11.5 minutes to a mere 22 seconds, rigorously replicating depressive pseudodementia and cognitive tunneling. This work marks a paradigm shift from discrete prompt engineering to continuous thermodynamic cultivation, laying the ordinary differential equation (ODE) foundation for AGI with authentic physical vulnerability.",NA,"https://doi.org/10.5281/zenodo.18652271",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128913685","Insomnia Among Adolescents in Northern Peru: Associations with Psychosocial, Health-Related, and Educational Factors in a Cross-Sectional Study Across Five Schools","Mario J. Valladares-Garrido; Palmer J. Hernández-Yépez; Angie Giselle Morocho Alburqueque; Luz A. Aguilar-Manay; Jassmin Santin Vásquez; Renzo Pedro Eduardo Acosta-Porzoliz; Danai Valladares-Garrido; Darwin A. León-Figueroa; César J. Pereira-Victorio; Miguel Villegas-Chiroque; La Cruz- Vargas; Oriana Rivera-Lozada; J. Pierre Zila‐Velasque","2026-02-14",4,"Background/Objectives: Insomnia is common among adolescents and is associated with emotional, behavioral, and academic difficulties. Although high rates have been reported globally, evidence in Latin America—particularly in Peru—remains limited and heterogeneous. Many previous studies relied on small samples, descriptive designs, omitted key psychosocial variables, or were conducted during early pandemic waves, despite the rise in sleep disturbances following COVID-19 restrictions. This study aimed to estimate the prevalence of insomnia and identify associated factors among adolescents in northern Peru. Methods: An analytical cross-sectional study was conducted using secondary data from students attending five schools in Lambayeque, Peru. Insomnia was assessed using the Insomnia Severity Index (ISI). Sociodemographic, psychosocial, behavioral, and health-related variables—including self-esteem, family dysfunction, eating disorders, acne severity, mental health help-seeking, and digital behavior—were evaluated. Generalized linear models estimated prevalence ratios (PRs) and 95% confidence intervals (CIs). Results: Among 1313 adolescents (54.3% male; mean age 14.6 years), the prevalence of insomnia was 38.9% (95% CI: 36.1–41.5). In adjusted analyses, insomnia was associated with urban residence, non-Catholic religion, seeking mental health support, high social media use, internet use of 6–10 h/day, low self-esteem, eating disorders, greater acne severity, and experiencing the death of a family member due to COVID-19. Conclusions: Nearly four in ten adolescents reported insomnia, influenced by sociodemographic, psychosocial, and lifestyle-related factors. These findings provide updated post-pandemic evidence for the Peruvian context and highlight the multifactorial nature of adolescent insomnia. Further research is needed to clarify causal pathways and understand the long-term mental health implications of large-scale stressors such as the COVID-19 pandemic. Keywords: insomnia; sleep quality; mental health; adolescents; COVID-19; pandemic",NA,"https://doi.org/10.3390/jcm15041505",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128904827","Cannabis Use Among Individuals Treated with Medication for Opioid Use Disorder: Correlates, Patterns, and Motivations for Use","Sarah Leyde; Joseph O. Merrill; Anna Treadway; Kenneth C. Pike; Cynthia Price","2026-02-14",4,"Background: Cannabis use is prevalent among patients receiving medication for opioid use disorder (MOUD). However, little is known about factors associated with frequent cannabis use. Objective: To describe correlates, patterns, and motivations for cannabis use among individuals treated with MOUD. Methods: Participants from a randomized trial (n = 303) investigating a mind-body intervention adjunct to MOUD were compared based on frequent cannabis use (≥3 days/week) versus less frequent or no use, assessing demographic and clinical characteristics. Individuals with frequent cannabis use were invited to participate in a telephone survey exploring reasons for cannabis use, cannabis usage in treating symptoms/conditions, route, tetrahydrocannabinol/cannabidiol content, and cannabis use disorder screening. Results: 47.5% of participants (n = 144) endorsed cannabis use, and 27% used cannabis frequently (≥3 days/week). Frequent cannabis use was associated with anxiety ( P = .04), nausea/vomiting ( P &lt; .001), and lower employment ( P = .03). Employment was associated with less frequent cannabis use (OR = 0.54, 95% CI = 0.29-0.99, P = .049), and higher interoceptive awareness was associated with lower odds of frequent cannabis use (OR = 0.64, 95% CI = 0.43-0.96, P = .03). In a subsample (n = 27) of individuals with frequent cannabis use, 56% used cannabis for both recreation and symptom management, 30% for symptom management only, and 15% for recreation only. Participants who reported medical use of cannabis used it to manage a variety of conditions, including stress (100%), anxiety (83%), insomnia (79%), pain (75%), depression (75%), and posttraumatic stress disorder (n = 67%). Fifty-two percent wanted to cut down. Conclusions: Frequent cannabis use among individuals on MOUD was associated with anxiety, nausea, and lower employment, with no significant differences in key MOUD outcomes including substance use and retention. Individuals with frequent cannabis use reported treating stress, pain, and mental health conditions with cannabis. More attention to screening and treatment of these conditions is warranted.",NA,NA,NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128902874","Factors Associated With Health-Related Quality of Life of Stroke Survivors: An Integrative Review","Anas Okour; Tamilyn Bakas; Elaine Miller","2026-02-14",4,"",NA,NA,NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128920168","Integrative Healthcare for Optimal Health","Ravinder Mamtani; Amit Abraham; Sohaila Cheema; Karima Chaabna; Darshan Mehta; Javaid I. Sheikh","2026-02-14",4,"<ns3:p> Conventional medicine and public health have collectively improved health and saved the lives of millions. Yet, as we confront the escalating crisis of non-communicable diseases (NCDs), it becomes increasingly clear that conventional approaches alone are no longer sufficient. A new, evidence-based paradigm shift is necessary. Integrative health, which combines conventional medicine with complementary and lifestyle medicine, offers that shift. To assess its effectiveness, we identified and reviewed 14 clinical trials published within the past 5 years in widely read, high-impact factor journals (and their sub-specialty counterparts) – including <ns3:italic>The New England Journal of Medicine</ns3:italic> , the <ns3:italic>Lancet</ns3:italic> , the <ns3:italic>BMJ</ns3:italic> and <ns3:italic>JAMA.</ns3:italic> These trials directly compared integrative health interventions with conventional medical treatments across conditions such as insomnia, obesity, age-related disorders, Parkinsonism, and motor neuron disease. The included trials assessed outcomes related to mental health, pain management, and quality of life. Across these studies, we found that integrative health interventions were consistently associated with improved health outcomes. While we acknowledge that stronger evidence is needed, the research findings represent an important step toward exploring a well-balanced, evidence-based approach to integrative health. </ns3:p>","https://f1000research.com/articles/15-257/pdf",NA,NA,"openalex",TRUE,FALSE,"openalex_integrative_healthca_w7128920168.pdf",1,"original"
