"id","title","authors","date","days_ago","abstract","pdf_url","openalex_pdf","europepmc_pdf","source","pdf_ok","pdf_blocked","pdf_file","pdf_mb","pdf_source"
"W7128958704","Purification, characterization and antibacterial potential of streptococcus-derived protease: Insights into biomedical applications","Hajer Sabah Shabram; Entesar Hussain Ali","2026-02-15",1,"Purification, characterization and antibacterial potential of streptococcus-derived protease: Insights into biomedical applications Authors Hajer Sabah Shabram Applied Sciences Department, University of Technology- Iraq, Baghdad 10066, Iraq Author Entesar Hussain Ali Applied Sciences Department, University of Technology- Iraq, Baghdad 10066, Iraq Author DOI: https://doi.org/10.56053/10.S.257 Keywords: Streptococcus-derived enzyme, Purification, Antibacterial Abstract Proteases are key industrial enzymes with significant biomedical potential. A protease-producing Streptococcus isolate is cultivated in casein–starch medium under optimized conditions (pH 7.4, 37 °C, 36 h). The enzyme is purified by ammonium sulfate precipitation, dialysis, ion exchange, and gel filtration, yielding a 2.74-fold increase in specific activity (13.8 to 37.83 U/mg) with 4.2% final yield. SDS-PAGE confirmed near-homogeneity. The protease showed optimum activity at 40 °C and pH 7.0, with moderate thermostability. Accordingly, the present study aims to isolate and identify a protease-producing Streptococcus strain, purify the extracellular enzyme through a multistep process, and characterize its biochemical properties in terms of activity, stability, and optimal operating conditions. Furthermore, the antibacterial potential of the purified protease is evaluated against both Gram-positive (Staphylococcus aureus) and Gram-negative (Escherichia coli) bacteria to assess its efficacy as a natural antimicrobial agent. Through this investigation, the work seeks to establish the Streptococcus-derived protease as a promising candidate for biomedical and therapeutic applications, particularly in the context of enzyme-based antibacterial strategies. Antibacterial assays revealed dose-dependent inhibition of Escherichia coli and Staphylococcus aureus, with stronger activity against Gram-positive bacteria, highlighting its potential as a promising antimicrobial biocatalyst. References -[1] S. da, Santos, and D. R. Izario, Experimental and Theoretical NANOTECHNOLOGY 3 (2019) 245 https://doi.org/10.56053/3.3.245 -[2] D.B. Devedov, R.J. Asherov, G.H. Glenko, N.O. Ferstaloya, Experimental and Theoretical NANOTECHNOLOGY 3 (2019) 253 https://doi.org/10.56053/3.3.253 -[3] T. Duńvki, V. Saryviak, Experimental and Theoretical NANOTECHNOLOGY 3 (2019) 269 https://doi.org/10.56053/3.3.269 -[4] M.Q. Ali, T.P. Kohler, L. Schulig, G. Burchhardt, S. Hammerschmidt, Front. Cell. Infect. Microbiol. 11 (2021) 763152 https://doi.org/10.3389/fcimb.2021.763152 -[5] C. Chiang-Ni et al., Virulence 14 (2023) 1 https://doi.org/10.1007/s15010-025-02646-1 -[6] S. Brouwer et al., Nat. Rev. Microbiol. 21 (2023) 619 https://doi.org/10.1038/s41579-023-00939-6 -[7] P.G. Georgiou, G.R. Stark, Curr. Protoc. Protein Sci. 83 (2016) 451 https://doi.org/10.17192/z2018.0517 -[8] Q. Zhou et al., J. Control. Release 352 (2022) 507 https://doi.org/10.1016/j.jconrel.2022.10.038 -[9] J. Zhou et al., Front. Microbiol. 13 (2022) 952633 https://doi.org/10.3389/fmicb.2022.952633 -[10] M. Bilal, S.A. Qamar, Biotechnol. Adv. 70 (2024) 108304 https://doi.org/10.1016/j.biotechadv.2023.108304 -[11] Y. Chen et al., Front. Nutr. 9 (2022) 884537 https://doi.org/10.3389/fnut.2022.1041655 -[12] T. Barnett, Microbiol. Spectr. 10 (2022) 1 https://doi.org/10.1038/s41467-022-34243-3 -[13] S. Phupaboon et al., Appl. Microbiol. Biotechnol. 107 (2023) 1 https://doi.org/10.1371/journal.pone.0312575 -[14] S. Gharbi et al., Mater. Sci. Eng. B, 270 (2021) 115191 https://doi.org/10.1016/j.mseb.2021.115191 -[15] K. Rampersadh et al., Front. Cell. Infect. Microbiol. 14 (2024) 1337861 https://doi.org/10.3389/fcimb.2024.1337861 -[16] S. McKenna et al., J. Innate Immun. 14 (2022) 69 https://doi.org/10.1159/000516956 -[17] J. Wang et al., Vaccines 11 (2023) 1510 https://doi.org/10.3390/vaccines11091510 -[18] O.Y.M. Alabdali, A. Guessab, Appl. Math. Comput. 247 (2014) 1129 10.56053/10.1.81 -[19] A. Ashraf et al., Fractal Fract. 7 (2023) 673 https://doi.org/10.3390/fractalfract7090673 -[20] J. Wei, L. Xie, Biophys. Rep. 6 (2020) 45. https://doi.org/10.1007/s13277-016-4896-2 -[21] M.M. Elnashar, A.A. Yassin, Biocatal. Agric. Biotechnol. 27 (2020) 101702 https://doi.org/10.5935/0100-4042.20140128 -[22] R. Gupta et al., Curr. Microbiol. 78 (2021) 1835 https://doi.org/10.1039/D0NA00961J -[23] D. Bouras et al., Ceramics International 44 (2018) 21546 https://doi.org/10.1016/j.ceramint.2018.08.218 -[24] N. Ben Azaza et al., Opt. Mater. 96 (2019) 109328 https://doi.org/10.1016/j.optmat.2019.109328 -[25] T. Alam, S. Sharma, Front. Microbiol. 12 (2021) 704582 https://doi.org/10.3390/ijms22137202 -[26] B.H. Chen, C.H. Hsu, Enzyme Microb. Technol. 157 (2022) 109924 https://doi.org/10.3389/fimmu.2023.1323233 -[27] H. Li et al., Chem. Rev. 123 (2023) 9876 https://doi.org/10.1038/s41570-023-00536-4 -[28] M. Al-Darraji et al., Asian Pac. J. Cancer Prev. 23 (2022) 3437 https://doi.org/10.1371/journal.pone.0126764 -[29] M.M. El-Sayed et al., Microorganisms 11 (2023) 345 https://doi.org/10.3390/biology13080553 -[30] A. Ben-Sassi et al., Biotechnol. Rep. 39 (2023) e00763 https://doi.org/10.1186/s13027-021-00344-9 -[31] S. Kumar et al., BMC Microbiol. 22 (2022) 1 https://doi.org/10.1186/s12879-022-07551-8 -[32] R. Sharma et al., Enzyme Microb. Technol. 168 (2023) 110139 https://doi.org/10.3390/ph16060881 -[33] F. Farias et al., Front. Microbiol. 14 (2023) 1139814 https://doi.org/10.3389/fmicb.2023.1340215 -[34] F. Dkhilalli et al., R. Soc. Open Sci. 5(8) (2018) 172214 https://doi.org/10.1098/rsos.172214 -[35] E. Kadri et al., J. Alloys Compd. 721 (2017) 779 https://doi.org/10.1016/j.jallcom.2017.06.025 -[36] M. Raghu et al., Process Biochem. 125 (2023) 1 10.1016/j.biortech.2017.01.011 -[37] N. Assoudi et al., Opt. Quantum Electron. 54 (2022) 122 https://doi.org/10.1007/s11082-022-03927-x -[38] Farouk BOUDOU, Nat. Sci. Biol. 16 (2024) 13837 https://doi.org/10.55779/nsb16211837 Downloads PDF Published 2026-02-15 Issue 2025: Special Issue (Selected Papers: 7th PAM 2025 Part I Guest Editor: Prof. Tarik AL-Omran) Section Articles How to Cite Purification, characterization and antibacterial potential of streptococcus-derived protease: Insights into biomedical applications. (2026). Experimental and Theoretical NANOTECHNOLOGY, 257-275. https://doi.org/10.56053/10.S.257 More Citation Formats ACM ACS APA ABNT Chicago Harvard IEEE MLA Turabian Vancouver AMA Download Citation Endnote/Zotero/Mendeley (RIS) BibTeX",NA,"https://doi.org/10.56053/10.s.257",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128958046","Formulation and Evaluation of a Combination Tablet Containing Prucalopride Succinate and Elobixibat for the Treatment of Chronic Constipation","Shalini U. Rathod, N.D.Phupate, Venkatesh Nalabale, Gourav Bothra,","2026-02-15",1,"Abstract This research centers on creating and assessing a combination tablet that includes Prucalopride Succinate and Elobixibat aimed at treating chronic constipation. Prucalopride is a prokinetic medication that improves colonic movement, whereas Elobixibat, an IBAT blocker, helps treat constipation by affecting bile acid metabolism. The tablet composition features key excipients like microcrystalline cellulose, lactose monohydrate, povidone, sodium starch glycolate, magnesium stearate, and hydroxypropyl methylcellulose to guarantee optimal tablet efficiency and stability. Wet granulation was employed for tablet production, followed by compression and optional coating to improve the product's shelf life and patient acceptance. Pre-formulation investigations, which involved compatibility assessments utilizing methods like FTIR and DSC, were conducted to analyze the relationship between the APIs and excipients. The tablets were subjected to multiple quality control assessments, such as tests for weight variation, hardness, friability, and disintegration time, all of which were deemed acceptable. Dissolution studies revealed that both APIs demonstrated quick release profiles, with more than 98% drug release occurring within 30 minutes in the dissolution medium, adhering to pharmacopoeial standards for immediate-release formulations. The findings validate the successful creation of the combination tablet, exhibiting a clear dissolution profile and the necessary physical attributes for effectively treating chronic constipation. This combined treatment holds the promise of enhancing therapeutic results by addressing various pathways linked to constipation, resulting in quicker relief and greater patient adherence.",NA,"https://doi.org/10.5281/zenodo.18648087",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128973316","Revealing the Impact of Starch&ndash;Pectin Interactions on the Textural Properties of Different Potato Varieties During Boiling","Tianran Liu; Qianqian Jiang; Xinzhu Cai; Xiaoyan Zhao; Dan Wang; Chunhong Zhang","2026-02-15",1,"This study aimed to investigate the changes in textural properties of two potato varieties (JZ-226 and XS-6) during boiling and to elucidate the interaction mechanisms within their starch&ndash;pectin composite systems, and their impacts on textural characteristics. The results showed that during the boiling process, both potato varieties exhibited decreased hardness and chewiness. As the boiling time lengthened, starch underwent gelatinization; the amylose content dropped; water solubility increased; and the swelling power, transparency, and iodine blue value reduced. Meanwhile, pectin degraded, with the degree of esterification increasing; the content of protopectin and other bound pectins decreased; and water-soluble pectin increased, along with molecular weight rising. In the early stages of gelatinization (15 min), the addition of pectin inhibited the short-range orderliness of starch, forming a relatively stable network structure. However, prolonged gelation disrupts the gel network structure of the starch&ndash;pectin complex, leading to further textural changes. Compared to XS-6, the pectin in JZ-226 demonstrated a stronger ability to inhibit starch short-range orderliness, forming a more stable network structure, thereby maintaining superior hardness. These findings provide a theoretical basis for understanding the molecular mechanisms underlying textural changes in potato processing and offer technical support for developing functional potato products.",NA,"https://doi.org/10.3390/foods15040722",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128958363","Enhancing the resistant starch content of cassava starch via heat-moisture treatment for application as a prebiotic in chicken feed","Attawit Kovitvadhi","2026-02-15",1,"This study aimed to increase the resistant starch (RS) content of cassava starch via heat-moisture treatment (HMT) and evaluate its prebiotic potential in chicken feed.",NA,"https://doi.org/10.17632/r839mtn9mj.1",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128951197","Post‐Heading High Nighttime Temperature Impairs Grain Protein‐Starch Balance and Rice Quality Through Altering Nitrogen Metabolism","Z. Liu; Shengming Xia; Yixiao Li; Hubo Li; Menghao Zhu; Huanran Yin; Zhenmei Wang; Jianguo Man; Dongliang Xiong; KeHui CUI; Jianliang Huang; Shaobing Peng; Shen Yuan; F. Wang","2026-02-15",1,"ABSTRACT High nighttime temperatures (HNT) tend to diminish rice quality by disrupting assimilate translocation and grain filling process in rice ( Oryza sativa L.). However, there is controversy remains regarding whether source or sink limitation are the primary driver under HNT during grain filling period. Additionally, the physiological mechanisms underlying the genotypic variation in the response of grain protein content to HNT and its effect on rice quality have been less explored. To address whether nitrogen remobilization from leaves to grains during grain filling determines genotypic differences in grain quality under high night temperature, two cultivars – HHZ (Huanghuazhan, an indica inbred line) and YY4949 (Yongyou4949, an indica ‐ japonica hybrid) – were treated with 30/22°C (day/night, CK) and 30/27°C (HNT) over two consecutive years. Significant genotypic variation in the response of grain storage substances to HNT was observed between the two cultivars. Under HNT, YY4949 exhibited a significant increase in grain protein content and glutelin/prolamin ratio, and this shift negatively impacted rice eating and cooking quality. Notably, the protein/amylose ratio exhibited a stronger correlation with chalkiness degree and pasting characteristics of rice flour. Under HNT, accelerated nitrogen remobilization from leaves to grains in YY4949 – driven by enhanced chloroplast degradation and upregulated expression of nitrogen metabolism‐related enzymes and transporters exacerbated source limitation to rice quality and disrupted the balance between starch and protein in grains. Collectively, these findings suggest that genetic modulation of nitrogen remobilization could facilitate the breeding of climate‐resilient rice cultivars with superior grain quality.",NA,NA,NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128961297","Developmental Differences and Implications for Small and Large ‘Zesy002’ Kiwifruit","J. Burdon; D. Billing; P. Pidakala; J. Cho; Philip Martin; A.M. Barnett; Helen Boldingh","2026-02-15",1,"‘Zesy002’ ( Actinidia chinensis var. chinensis , sold commercially as Zespri SunGold Kiwifruit) now dominates the New Zealand kiwifruit industry and the global market for yellow‐fleshed kiwifruit. It is an inherently larger‐fruited cultivar than the traditional green‐fleshed “Hayward” fruit, with an average fruit mass of ∼120 g compared to ∼100 g for ""Hayward."" Despite the larger average fruit size, there may still be a significant proportion of small fruit in the harvest. It has been noticed that there are marked compositional differences between the larger and smaller fruit at harvest. To investigate this, large (120–150 g) and small (80–90 g) fruit on five orchards were monitored during maturation. The differences between large and small fruit were consistent across orchards. For seed colour change, the cessation of growth and nett starch loss, there appeared little difference between the large and small fruit. The most noticeable difference was in flesh colour and SSC at any given timepoint, with small fruit lagging ∼2 weeks behind large fruit. The off‐vine degreening of commercially picked and packed large and small fruit from three orchards was investigated at temperatures between 5°C and 15°C. Both large and small fruit had similar responses to temperature for degreening and softening.",NA,NA,NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128954030","Enhancing the resistant starch content of cassava starch via heat-moisture treatment for application as a prebiotic in chicken feed","Attawit Kovitvadhi","2026-02-15",1,"This study aimed to increase the resistant starch (RS) content of cassava starch via heat-moisture treatment (HMT) and evaluate its prebiotic potential in chicken feed.",NA,"https://doi.org/10.17632/r839mtn9mj",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128952194","Hydrophobicity Strategies of Starch-Based Films: Recent Advances and Perspectives","Elsa F. Vieira; Tomás Amaral; Valentina F. Domingues; Cristina Delerue-Matos","2026-02-15",1,"The rapid accumulation of plastic waste and the depletion of fossil resources have intensified global efforts to develop biodegradable polymeric materials derived from renewable feedstocks. In this context, starch-based films have emerged as one of the most promising alternatives to conventional petroleum-based plastics, owing to their wide availability, low cost, biodegradability, and ability to form continuous films using simple and scalable processing techniques. Starch is a naturally occurring polysaccharide composed primarily of amylose and amylopectin, whose molecular structure is rich in hydroxyl (&ndash;OH) groups. These functional groups promote extensive intermolecular hydrogen bonding, enabling starch gelatinization and film formation in aqueous systems. However, the same hydroxyl-rich structure confers a pronounced hydrophilic character, resulting in high moisture sensitivity, poor water vapor barrier properties, and limited dimensional stability under humid. Consequently, improving the hydrophobicity of starch-based films remains one of the most critical challenges for their practical application in food packaging. This review aims to summarize and critically discuss the main strategies reported for improving the hydrophobicity of starch-based films. The review focuses on composition and processing approaches, including (i) chemical modification of starch, (ii) incorporation of hydrophobic additives, (iii) reinforcement with natural fibers and nanocellulosic materials, (iv) polymer blending and multilayer/gradient architectures, and (v) processing strategies, including film homogenization, shear treatment and aging conditions. Emphasis is placed on the mechanisms governing hydrophobicity enhancement, comparative performance indicators, and current limitations.",NA,"https://doi.org/10.3390/polym18040490",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128959919","Formulation and Evaluation of a Combination Tablet Containing Prucalopride Succinate and Elobixibat for the Treatment of Chronic Constipation","Shalini U. Rathod, N.D.Phupate, Venkatesh Nalabale, Gourav Bothra,","2026-02-15",1,"Abstract This research centers on creating and assessing a combination tablet that includes Prucalopride Succinate and Elobixibat aimed at treating chronic constipation. Prucalopride is a prokinetic medication that improves colonic movement, whereas Elobixibat, an IBAT blocker, helps treat constipation by affecting bile acid metabolism. The tablet composition features key excipients like microcrystalline cellulose, lactose monohydrate, povidone, sodium starch glycolate, magnesium stearate, and hydroxypropyl methylcellulose to guarantee optimal tablet efficiency and stability. Wet granulation was employed for tablet production, followed by compression and optional coating to improve the product's shelf life and patient acceptance. Pre-formulation investigations, which involved compatibility assessments utilizing methods like FTIR and DSC, were conducted to analyze the relationship between the APIs and excipients. The tablets were subjected to multiple quality control assessments, such as tests for weight variation, hardness, friability, and disintegration time, all of which were deemed acceptable. Dissolution studies revealed that both APIs demonstrated quick release profiles, with more than 98% drug release occurring within 30 minutes in the dissolution medium, adhering to pharmacopoeial standards for immediate-release formulations. The findings validate the successful creation of the combination tablet, exhibiting a clear dissolution profile and the necessary physical attributes for effectively treating chronic constipation. This combined treatment holds the promise of enhancing therapeutic results by addressing various pathways linked to constipation, resulting in quicker relief and greater patient adherence.",NA,"https://doi.org/10.5281/zenodo.18648086",NA,"openalex",FALSE,FALSE,NA,NA,NA
"W7128953580","The Mechanism of Promoting Agarwood Formation in Aquilaria sinensis by Girdling","Qilei Zhang; Xiaoying Fang; Ning Ma; Ye Wang","2026-02-15",1,"Agarwood is highly valued; however, its formation process is relatively slow. In this study, carbon isotope labeling was used to investigate the effects of girdling on agarwood formation. The starch, soluble sugar, and essential oil contents of the stems above the girdle were higher than those of the stems below the girdle and those of stems without girdling. Carbon isotope labeling revealed that girdling obstructed the transport of non-structural carbohydrates synthesized by the leaves to the stem below the girdle. The concentration of 13C in starch, soluble sugars, and essential oils in stems above the girdle was significantly higher than that in stems below the girdle and in stems without girdling. Phenotypic observations revealed that the area of agarwood formation was more extensive in regions closer to the phloem. Slice staining and variations in starch and soluble sugar content showed that starch was converted into soluble sugars during agarwood formation. This study demonstrates that newly synthesized non-structural carbohydrates from leaves following agarwood-inducing treatment contribute as raw materials for agarwood formation. Girdling increases the levels of non-structural carbohydrates in the stem above the girdle, thereby enhancing agarwood formation.",NA,"https://doi.org/10.3390/f17020257",NA,"openalex",FALSE,FALSE,NA,NA,NA
